date_in,date_out,app_date,hours_in_custody,age_group,gender,citizenship,border,sector,field_office,source
1/20/2017 7:17,1/25/2017 11:15,NA,123.9666667,9-11 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 7:20,1/24/2017 17:30,NA,106.15,15-18 years,Male,BRAZIL,SBO,(b)(7)(E ),NA,BP
1/20/2017 7:20,1/24/2017 7:25,NA,96.06666667,15-18 years,Male,BRAZIL,SBO,(b)(7)(E ),NA,BP
1/20/2017 7:20,1/21/2017 11:06,NA,27.75,15-18 years,Male,MEXICO,SBO,(b)(7)(E ),NA,BP
1/20/2017 7:30,1/23/2017 8:29,NA,72.96666667,3-5 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 7:35,1/21/2017 3:15,NA,19.65,15-18 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 7:35,1/21/2017 3:15,NA,19.65,9-11 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 8:30,1/21/2017 13:45,NA,29.25,12-14 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 8:30,1/21/2017 13:45,NA,29.25,15-18 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 8:30,1/24/2017 17:47,NA,105.2833333,9-11 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 8:30,1/21/2017 13:45,NA,29.25,15-18 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 8:30,1/21/2017 13:45,NA,29.25,15-18 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 8:30,1/25/2017 13:21,NA,124.85,6-8 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 8:30,1/24/2017 17:30,NA,105,1-2 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 8:30,1/21/2017 6:37,NA,22.1,12-14 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 9:00,1/21/2017 13:45,NA,28.75,15-18 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 9:00,1/20/2017 14:23,NA,5.366666667,9-11 years,Male,MEXICO,SBO,(b)(7)(E ),NA,BP
1/20/2017 9:05,1/24/2017 17:30,NA,104.4166667,15-18 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 9:05,1/24/2017 17:30,NA,104.4166667,1-2 years,Female,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 9:05,1/24/2017 17:47,NA,104.7,6-8 years,Female,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 9:05,1/24/2017 17:47,NA,104.7,3-5 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 9:35,1/24/2017 17:30,NA,103.9166667,6-8 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 9:35,1/24/2017 8:16,NA,94.68333333,3-5 years,Female,GUATEMALA,SBO,(b)(7)(E ),NA,BP
