age,education,marital status,number of children,ideal number of children,sex,sexual orientation,race,ethinicity,political views,religious preference,religious services attend,abortion opinion,sexual education,homosexual opinion,tv hours,email hours,relax hours,work related racism,work satisfaction,life satisfaction,poor mental health,confidence in government,ballot
28,14,3,3,-100,2,-100,2,2,-98,4,0,-100,1,-100,4,0,0,2,2,4,1,-100,2
20,13,5,1,3,2,-100,2,2,2,-98,0,1,1,-98,6,0,-100,-100,2,-100,-100,-100,1
62,14,5,4,-100,2,-98,1,1,5,2,7,2,-100,1,-100,-100,-100,-100,-100,-100,-100,-100,3
36,12,5,1,-100,2,-100,1,1,3,2,3,-100,1,4,0,-100,-100,-100,2,-100,-100,-100,1
49,10,5,1,-100,2,3,1,1,4,-99,-99,1,-100,4,-100,-100,-100,-100,2,-100,-100,-100,3
30,12,4,3,-100,2,3,1,1,6,5,7,-100,-100,1,-100,-100,0,2,2,6,30,-100,3
62,9,3,3,2,2,3,3,16,6,4,0,-100,2,-100,2,1,-100,-100,-100,-100,-100,-100,2
70,4,3,2,-100,2,-100,-100,-100,5,2,3,-100,-100,4,-100,-100,-100,-100,-100,-100,-100,-100,3
73,8,2,3,-100,2,-100,3,16,7,10,3,-100,-100,1,-100,-100,-100,-100,-100,-100,-100,-100,3
34,12,5,8,8,2,-98,2,2,1,4,0,-100,1,-100,4,0,-97,2,1,-97,-97,-100,2
47,16,5,1,-100,2,3,1,1,4,4,0,-100,-100,4,-100,-100,15,2,1,9,0,-100,3
47,15,4,4,1,2,-100,1,1,1,2,5,-100,1,1,1,1,4,-98,4,8,-99,-100,1
58,17,3,5,-100,2,-100,2,2,3,5,3,1,1,3,-98,5,-98,2,2,6,0,3,1
82,12,3,2,3,2,3,2,2,4,5,1,-100,1,-100,4,1,-100,-100,-100,-100,-100,-100,2
67,12,2,2,3,1,-100,2,2,4,5,5,1,1,4,4,28,2,2,1,-98,0,-100,1
41,14,4,0,8,1,-100,2,2,4,2,1,2,1,4,2,0,16,2,2,10,0,2,1
32,16,5,0,8,2,-100,2,2,4,1,2,-100,1,-100,0,37,5,2,2,6,5,-100,2
65,9,3,3,8,2,-100,2,2,-98,1,5,-100,-98,1,0,0,-100,-100,-100,-100,-100,-97,1
57,18,5,0,2,2,-100,2,2,2,2,7,2,1,4,4,2,-100,-100,-100,-100,-100,2,1
55,12,3,4,-100,1,-100,2,2,-98,10,2,-100,1,-100,1,2,-98,2,2,6,0,-100,2
86,9,2,4,-100,2,3,2,2,-97,1,7,1,-100,1,-100,-100,-100,-100,-100,-100,-100,-100,3
31,20,5,0,8,2,-100,2,2,4,4,0,1,1,4,5,0,8,2,3,8,0,-100,1
62,12,3,2,3,2,-100,1,1,5,2,3,-100,1,-100,3,10,-100,-100,1,-100,-100,2,2
23,17,5,0,3,2,-100,2,2,-98,2,0,-100,1,-100,2,3,6,2,2,7,-98,2,2
-99,16,1,0,2,2,-100,2,2,4,-99,-99,-100,1,-100,8,7,2,-99,1,-99,0,-100,2
22,14,5,0,-100,2,2,2,2,2,4,2,-100,-100,4,-100,-100,0,2,3,7,30,-100,3
