hours work per week,number of children,age,education,sex,race,religious preference,religious services frequency,abortion,ideal number of children,sex education,homosexual,own gun,tv hours per week,email hours per week,racial discrimination at work,days of poor mental health,sexual orientation,ballot,life now,confidence in government
-100,2,70,4,2,-100,2,3,-100,-100,-100,4,2,-100,-100,-100,-100,-100,3,-100,-100
-100,3,73,8,2,3,10,3,-100,-100,-100,1,2,-100,-100,-100,-100,-100,3,-100,-100
-100,8,34,12,2,2,4,0,-100,8,1,-100,-100,4,0,2,-97,-98,2,-97,-100
-100,1,47,16,2,1,4,0,-100,-100,-100,4,2,-100,-100,2,0,3,3,9,-100
-100,4,47,15,2,1,2,5,-100,1,1,1,2,1,1,-98,-99,-100,1,8,-100
-100,5,58,17,2,2,5,3,1,-100,1,3,2,-98,5,2,0,-100,1,6,3
-100,2,82,12,2,2,5,1,-100,3,1,-100,-100,4,1,-100,-100,3,2,-100,-100
-100,2,67,12,1,2,5,5,1,3,1,4,2,4,28,2,0,-100,1,-98,-100
-100,0,41,14,1,2,2,1,2,8,1,4,2,2,0,2,0,-100,1,10,2
-100,0,32,16,2,2,1,2,-100,8,1,-100,-100,0,37,2,5,-100,2,6,-100
-100,3,65,9,2,2,1,5,-100,8,-98,1,2,0,0,-100,-100,-100,1,-100,-97
-100,0,57,18,2,2,2,7,2,2,1,4,2,4,2,-100,-100,-100,1,-100,2
-100,4,55,12,1,2,10,2,-100,-100,1,-100,-100,1,2,2,0,-100,2,6,-100
-100,4,86,9,2,2,1,7,1,-100,-100,1,2,-100,-100,-100,-100,3,3,-100,-100
-100,0,31,20,2,2,4,0,1,8,1,4,2,5,0,2,0,-100,1,8,-100
-100,2,62,12,2,1,2,3,-100,3,1,-100,-100,3,10,-100,-100,-100,2,-100,2
-100,0,23,17,2,2,2,0,-100,3,1,-100,-100,2,3,2,-98,-100,2,7,2
-100,0,-99,16,2,2,-99,-99,-100,2,1,-100,-100,8,7,-99,0,-100,2,-99,-100
-100,0,22,14,2,2,4,2,-100,-100,-100,4,2,-100,-100,2,30,2,3,7,-100
-100,1,44,15,1,1,4,1,-100,3,1,-100,-100,3,2,2,1,-100,2,9,-100
-100,0,24,15,2,3,5,0,-100,0,1,-100,-100,-98,35,2,5,-100,2,4,-100
-100,2,37,18,1,2,1,3,-100,2,1,4,2,1,40,-100,-100,-100,1,-100,-100
-100,4,79,20,1,1,4,0,1,8,1,4,2,3,4,2,0,-100,1,-98,-100
-100,0,22,15,1,2,4,0,-100,2,1,-100,-100,0,1,-100,-100,3,2,-100,2
