location,sex,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years
Guam,F,8,8,8,7,6,6,6,6,6,5,4,3,2,2,1,1
Micronesia (Fed. States of),M,7,7,7,6,5,3,2,2,2,2,2,1,1,0,0,0
Micronesia (Fed. States of),F,7,7,6,6,5,3,2,3,2,2,2,1,1,1,1,0
Polynesia,M,37,38,35,30,24,23,23,23,19,16,13,9,7,5,3,3
Polynesia,F,34,35,32,28,23,22,22,21,18,15,13,9,7,6,4,4
French Polynesia,M,11,13,13,13,10,10,10,11,9,8,6,4,4,2,2,1
French Polynesia,F,11,12,12,13,10,10,10,10,9,7,6,4,3,2,2,1
Samoa,M,13,12,10,8,6,6,6,5,4,4,3,2,1,1,1,1
Samoa,F,11,11,9,7,6,6,5,5,4,3,3,2,2,1,1,1
Tonga,M,7,6,6,4,4,3,3,3,2,2,1,1,1,1,1,0
Tonga,F,6,6,5,4,4,4,3,3,2,2,1,1,1,1,1,1
