age,education,marital status,number of children,ideal number of children,sex,sexual orientation,race,ethinicity,political views,religious preference,religious services attend,abortion opinion,sexual education,homosexual opinion,tv hours,email hours,relax hours,work related racism,work satisfaction,life satisfaction,poor mental health,confidence in government,ballot
72,16,3,1,nan,2,3,1,1,2,4,2,nan,nan,4,nan,nan,4,2,3,7,15,1,3
80,18,1,2,3,1,nan,1,1,5,2,2,nan,1,3,3,7,nan,nan,nan,nan,nan,nan,1
57,12,3,1,nan,2,3,1,1,4,5,0,1,nan,4,nan,nan,5,2,3,5,0,nan,3
23,16,5,0,8,2,nan,1,1,1,4,4,nan,1,4,1,5,10,2,3,8,10,2,1
62,14,5,2,nan,1,3,1,1,5,2,2,1,nan,1,nan,nan,nan,nan,nan,nan,nan,3,3
27,12,5,0,nan,1,3,1,1,4,4,0,nan,nan,4,nan,nan,4,2,2,9,nan,nan,3
20,12,5,0,nan,2,3,3,16,3,4,1,1,nan,4,nan,nan,4,1,3,7,14,nan,3
47,16,1,0,nan,1,3,1,1,1,4,1,1,nan,4,nan,nan,4,2,2,8,0,nan,3
31,12,5,1,8,2,nan,1,1,3,4,0,1,1,4,0,1,2,2,1,10,5,nan,1
72,12,5,4,8,2,3,nan,nan,4,5,7,nan,2,nan,19,0,nan,nan,nan,nan,nan,nan,2
57,13,2,2,8,2,3,1,1,4,4,0,nan,1,nan,2,0,nan,nan,2,nan,nan,1,2
25,16,5,0,nan,2,3,1,1,nan,4,1,1,nan,4,nan,nan,5,2,1,8,7,nan,3
35,12,1,2,2,2,nan,1,1,4,10,2,nan,1,nan,2,6,6,2,1,8,15,nan,2
36,12,5,2,nan,2,3,1,1,4,2,1,nan,nan,4,nan,nan,10,2,3,5,0,nan,3
41,13,5,3,8,2,nan,1,1,6,2,4,1,1,4,0,2,nan,nan,3,nan,nan,nan,1
65,14,3,4,3,1,nan,1,1,2,2,2,2,1,1,4,1,nan,nan,nan,nan,nan,nan,1
20,13,5,1,8,2,nan,3,3,6,1,6,nan,1,nan,0,1,nan,nan,1,nan,nan,nan,2
80,16,1,7,3,2,3,1,1,3,2,7,nan,1,nan,5,8,4,2,1,8,4,2,2
35,11,5,4,nan,2,3,2,2,4,4,0,1,nan,4,nan,nan,2,2,2,6,10,2,3
89,12,5,0,3,2,3,1,1,6,2,0,nan,1,nan,4,nan,nan,nan,nan,nan,nan,nan,2
34,10,1,3,8,2,nan,3,16,6,1,7,2,1,1,1,1,nan,nan,1,nan,nan,3,1
55,12,1,5,3,2,nan,2,2,7,5,0,2,1,1,12,2,nan,nan,nan,nan,nan,2,1
65,16,2,0,2,1,nan,1,1,6,2,1,1,1,4,2,0,nan,nan,nan,nan,nan,1,1
60,14,1,3,2,2,nan,2,2,3,4,0,1,1,1,1,4,1,2,2,8,2,2,1
28,13,5,2,4,1,nan,1,1,4,4,2,1,2,4,0,0,2,2,2,9,0,3,1
82,12,2,3,2,2,nan,1,1,7,1,7,2,1,1,5,3,nan,nan,nan,nan,nan,1,1
59,12,1,1,nan,1,nan,3,3,2,2,0,nan,nan,4,nan,nan,8,2,1,9,0,1,3
86,12,2,0,2,2,nan,2,2,4,1,4,nan,1,4,1,0,nan,nan,nan,nan,nan,nan,1
36,16,1,1,nan,1,3,3,3,4,2,7,1,nan,4,nan,nan,nan,nan,nan,8,14,nan,3
79,12,1,2,3,2,2,1,1,7,1,0,nan,2,nan,3,nan,nan,nan,nan,nan,nan,nan,2
65,14,1,2,nan,1,3,3,3,4,4,0,nan,nan,4,nan,nan,4,2,1,8,0,nan,3
nan,12,5,8,nan,nan,nan,nan,nan,4,10,nan,nan,nan,4,nan,nan,nan,nan,nan,nan,nan,nan,3
76,12,3,4,2,2,3,1,1,1,4,0,nan,1,nan,10,0,nan,nan,nan,nan,nan,nan,2
72,16,3,2,nan,2,3,1,1,3,5,7,1,nan,4,nan,nan,nan,nan,nan,nan,nan,nan,3
62,13,2,1,8,2,nan,1,1,4,4,0,nan,1,4,4,2,nan,nan,2,nan,nan,nan,1
46,14,5,0,2,1,nan,1,1,3,2,2,1,1,4,3,7,5,2,2,4,0,nan,1
